segment,customers,kwh,A,B,C,ratio_B,ratio_C,cycles,shifted,B_vs_A_pct,C_vs_A_pct,C_vs_B_eur
PV_battery_HP_EV,7,56051.84,25067.62,22288.78,22158.54,1.06,0.98,108.54,6754.14,11.09,11.6,130.24
PV_battery_HP,9,51605.11,23154.84,20632.23,20481.21,1.06,0.95,104.41,8091.26,10.89,11.55,151.02
no_hardware,2,1799.56,857.53,787.96,787.96,1.08,1.08,0.0,0.0,8.11,8.11,0.0
PV_only,6,3987.09,1946.53,1807.29,1807.29,1.08,1.08,0.0,0.0,7.15,7.15,0.0
PV_battery,4,2587.07,1266.2,1176.84,1176.12,1.08,0.9,21.23,715.62,7.06,7.11,0.72
